,Tatoeba,Tatoeba+Word,Tatoeba+Stress+Word,Tatoeba+NewsPH,Tatoeba+NewsPH+Word,Tatoeba+NewsPH+Stress,Tatoeba+NewsPH+Stress+Word,Tatoeba+NewsPH+Stress+Word (30\% prune),Tatoeba+NewsPH+Stress+Word (50\% prune)
Tatoeba,,0.004302824095457678,0.0002381255021964427,0.9311252237271708,0.5096808491065833,0.4198657101251695,0.6146557178964499,0.07851713420483877,8.539809635714094e-26
Tatoeba+Word,,,0.09741067688686299,0.009665457592074336,0.021679429814310616,0.00042051879152126134,0.0024896929612245934,3.983315508489765e-05,1.575413030548562e-19
Tatoeba+Stress+Word,,,,0.0006365029156907702,0.0021913571415574777,5.8232017484544784e-08,6.594788007025889e-07,3.20079657390293e-08,1.0853599275271015e-13
Tatoeba+NewsPH,,,,,0.41467527445402685,0.5494457232700785,0.770237988468361,0.11015849767641979,5.085095452797106e-27
Tatoeba+NewsPH+Word,,,,,,0.1860398720121874,0.4002666237101058,0.02534375880452874,3.24340361880767e-26
Tatoeba+NewsPH+Stress,,,,,,,0.6444698073187263,0.20111957627933363,1.060407812418964e-27
Tatoeba+NewsPH+Stress+Word,,,,,,,,0.06443882769204692,5.90386327240391e-29
Tatoeba+NewsPH+Stress+Word (30\% prune),,,,,,,,,1.8593641681334052e-33
Tatoeba+NewsPH+Stress+Word (50\% prune),,,,,,,,,
