,Tatoeba,Tatoeba+Word,Tatoeba+Stress+Word,Tatoeba+NewsPH,Tatoeba+NewsPH+Word,Tatoeba+NewsPH+Stress,Tatoeba+NewsPH+Stress+Word,Tatoeba+NewsPH+Stress+Word (30\% prune),Tatoeba+NewsPH+Stress+Word (50\% prune)
Tatoeba,,4960.0,15029.5,7817.5,7257.5,10068.0,10736.0,7402.0,9427.5
Tatoeba+Word,,,16287.5,9523.0,8783.0,8821.5,8325.0,6683.0,12492.0
Tatoeba+Stress+Word,,,,13466.0,12923.0,4769.0,5974.5,6344.0,16523.5
Tatoeba+NewsPH,,,,,3665.5,8802.5,10512.0,6786.0,8398.0
Tatoeba+NewsPH+Word,,,,,,6812.5,8615.5,5127.5,7523.0
Tatoeba+NewsPH+Stress,,,,,,,3225.5,4069.5,7842.5
Tatoeba+NewsPH+Stress+Word,,,,,,,,3133.5,7481.5
Tatoeba+NewsPH+Stress+Word (30\% prune),,,,,,,,,4939.5
Tatoeba+NewsPH+Stress+Word (50\% prune),,,,,,,,,
