,Tatoeba,Tatoeba+Word,Tatoeba+Stress+Word,Tatoeba+NewsPH,Tatoeba+NewsPH+Word,Tatoeba+NewsPH+Stress,Tatoeba+NewsPH+Stress+Word,Tatoeba+NewsPH+Stress+Word (30\% prune),Tatoeba+NewsPH+Stress+Word (50\% prune)
Tatoeba,,0.33436042334923644,0.0008323954052331984,0.5933333957246953,0.7966561576953011,0.8813668410149451,0.2394684629115973,0.4680407359129638,6.463723637343644e-14
Tatoeba+Word,,,0.002316973130845987,0.7310617064931166,0.4175951256183851,0.2634809696524225,0.045351071184365,0.14224526702059193,4.7428550599477595e-12
Tatoeba+Stress+Word,,,,0.0007830522260483435,0.0008980442309229757,6.912389690416755e-05,5.734390015977569e-07,1.6133692864575124e-05,1.6442041666208298e-06
Tatoeba+NewsPH,,,,,0.7002959749562401,0.5382013870713868,0.08167506074312163,0.24234965990638513,3.55094028071753e-14
Tatoeba+NewsPH+Word,,,,,,0.6888665714526769,0.1839670425354023,0.3910344600143997,4.6251418041255206e-14
Tatoeba+NewsPH+Stress,,,,,,,0.1942460581026585,0.48154316116870965,1.9219948471425738e-13
Tatoeba+NewsPH+Stress+Word,,,,,,,,0.5821503146641926,1.1558239421093176e-16
Tatoeba+NewsPH+Stress+Word (30\% prune),,,,,,,,,2.5441141414044144e-17
Tatoeba+NewsPH+Stress+Word (50\% prune),,,,,,,,,
