,Tatoeba,Tatoeba+Word,Tatoeba+Stress+Word,Tatoeba+NewsPH,Tatoeba+NewsPH+Word,Tatoeba+NewsPH+Stress,Tatoeba+NewsPH+Stress+Word,Tatoeba+NewsPH+Stress+Word (30\% prune),Tatoeba+NewsPH+Stress+Word (50\% prune)
Tatoeba,,0.21476495639813453,1.5215528186880229e-05,0.23327001228070954,0.553853880168214,0.9427982478187382,0.5997532680281203,0.7742227548650822,2.244363698165643e-15
Tatoeba+Word,,,0.00022924473138897372,0.9273843127495182,0.4465804857917499,0.18956223424024155,0.08166298369974806,0.17826563150413532,1.4754539590999403e-12
Tatoeba+Stress+Word,,,,0.0002551798530426971,0.0002349896061640806,5.7273281814150265e-06,7.701633167745836e-08,7.774573396341059e-07,3.3425131112909643e-06
Tatoeba+NewsPH,,,,,0.5245438762745105,0.29265239894628503,0.048366100941953816,0.1503751867067943,8.439839292630085e-15
Tatoeba+NewsPH+Word,,,,,,0.5032248480403432,0.23310190336671577,0.36789407788902473,5.288255379352926e-15
Tatoeba+NewsPH+Stress,,,,,,,0.29352292544082204,0.5524013502372704,5.497808241440237e-15
Tatoeba+NewsPH+Stress+Word,,,,,,,,0.8406354579864185,3.0828777006927894e-17
Tatoeba+NewsPH+Stress+Word (30\% prune),,,,,,,,,1.085253861261329e-17
Tatoeba+NewsPH+Stress+Word (50\% prune),,,,,,,,,
