,Tatoeba,Tatoeba+Word,Tatoeba+Stress+Word,Tatoeba+NewsPH,Tatoeba+NewsPH+Word,Tatoeba+NewsPH+Stress,Tatoeba+NewsPH+Stress+Word,Tatoeba+NewsPH+Stress+Word (30\% prune),Tatoeba+NewsPH+Stress+Word (50\% prune)
Tatoeba,,583.0,2354.0,930.0,880.0,1217.0,1041.5,873.0,1561.5
Tatoeba+Word,,,2331.5,1587.5,1451.0,1316.0,1016.0,1052.5,2216.0
Tatoeba+Stress+Word,,,,1966.5,2274.0,1147.0,1042.5,1433.5,3735.5
Tatoeba+NewsPH,,,,,308.5,776.0,678.5,704.5,1454.0
Tatoeba+NewsPH+Word,,,,,,696.0,787.0,571.5,1373.0
Tatoeba+NewsPH+Stress,,,,,,,402.5,686.0,1532.5
Tatoeba+NewsPH+Stress+Word,,,,,,,,580.5,1035.5
Tatoeba+NewsPH+Stress+Word (30\% prune),,,,,,,,,523.5
Tatoeba+NewsPH+Stress+Word (50\% prune),,,,,,,,,
