,Tatoeba,Tatoeba+Word,Tatoeba+Stress+Word,Tatoeba+NewsPH,Tatoeba+NewsPH+Word,Tatoeba+NewsPH+Stress,Tatoeba+NewsPH+Stress+Word,Tatoeba+NewsPH+Stress+Word (30\% prune),Tatoeba+NewsPH+Stress+Word (50\% prune)
Tatoeba,,509.0,1823.0,806.5,752.0,1195.5,1055.0,847.0,1308.0
Tatoeba+Word,,,1895.0,1601.0,1316.0,1144.0,945.0,1012.5,2044.5
Tatoeba+Stress+Word,,,,1750.0,2058.0,947.0,857.5,1146.5,3657.0
Tatoeba+NewsPH,,,,,292.5,669.0,556.0,645.5,1297.0
Tatoeba+NewsPH+Word,,,,,,615.5,701.5,522.0,1206.0
Tatoeba+NewsPH+Stress,,,,,,,405.0,673.5,1301.5
Tatoeba+NewsPH+Stress+Word,,,,,,,,545.0,930.5
Tatoeba+NewsPH+Stress+Word (30\% prune),,,,,,,,,483.0
Tatoeba+NewsPH+Stress+Word (50\% prune),,,,,,,,,
